Voyage date,Vessel name,Vessel master,Vessel cargo,Port of origin,Destination port,Voyage type
1858-12-13,Morning Beauty,Smith,Ballast,San Francisco,Port Townsend,Inbound
1858-12-13,Panama,W. L. Dall,Merchandise,San Francisco,Port Townsend,Inbound
1858-12-13,Leonede,Charles T. Allen,Mdze,Port Townsend,Victoria,Outbound
1858-12-13,Harriet,Coffin,Mdze,Port Townsend,Victoria,Outbound
1858-12-13,Amelia,Thornton,B,Port Townsend,Victoria,Outbound
1858-12-13,Santa Cruz,Fauntleroy,B,Port Townsend,Victoria,Outbound
1858-12-14,Elizabeth,Melvin,Ballast,Victoria,Port Townsend,Inbound
1858-12-14,Panama,William Dall,B,Port Townsend,Victoria,Outbound
1858-12-15,Violet,J. Pembleton,Ballast,Victoria,Port Townsend,Inbound
1858-12-15,Carolina,Lampburgh,Ballast,Victoria,Port Townsend,Inbound
1858-12-15,Mallory,Starwood / E. Stannard / E. Stannows / A. Hannard,B,Port Townsend,Victoria,Outbound
1858-12-16,Jessie,Matherson,Ballast,Victoria,Port Townsend,Inbound
1858-12-16,Wild Pigeon,James Jones,Ballast,Victoria,Port Townsend,Inbound
1858-12-16,Nevada,C. H. / C. A. Houston,B,Port Townsend,Victoria,Outbound
1858-12-17,Santa Cruz,Fauntleroy,Ballast,Victoria,Port Townsend,Inbound
1858-12-17,Mary Ann,Tucker,Ballast,Victoria,Port Townsend,Inbound
1858-12-18,Santa Cruz,Fauntleroy,B,Port Townsend,Victoria,Outbound
1858-12-18,Jessie,Matherson,[illeg],Port Townsend,Victoria,Outbound
1858-12-18,Santa Cruz,Fauntleroy,B,Port Townsend,Victoria,Outbound
1858-12-20,Jenny Ford,S. F. / S. P. / S. J. Sargent,Merchandise,San Francisco,Port Townsend,Inbound
1858-12-20,Elizabeth,Melvin,[illeg],Port Townsend,Victoria,Outbound
1858-12-23,Wild Pigeon,James Jones,P,Port Townsend,Victoria,Outbound
1858-12-23,R. B. Potter,Gibbs,L,Port Townsend,Victoria,Outbound
1858-12-24,H. C. Page,Oberg,Ballast,Victoria,Port Townsend,Inbound
1858-12-24,Leonede,Charles T. Allen,Ballast,Victoria,Port Townsend,Inbound
1858-12-24,Leonede,Charles T. Allen,B,Port Townsend,Victoria,Outbound
1858-12-25,Panama,Hajin/Hudson/Lapidge?,Merchandise,San Francisco,Port Townsend,Inbound
1858-12-27,Pilgrim,Edgar,Ballast,Victoria,Port Townsend,Inbound
1858-12-27,Carolina,Lampburgh,,Port Townsend,Victoria,Outbound
1858-12-28,R. B. Potter,Gibbs,Ballast,Victoria,Port Townsend,Inbound
1858-12-29,Santa Cruz,Fauntleroy,Ballast,Victoria,Port Townsend,Inbound
1858-12-29,J. C. Caswell,Jayln/Gayln,Merchandise,Victoria,Port Townsend,Inbound
1859-01-01,Columbia,J. R. Baly,,San Francisco,Port Townsend,Inbound
1859-01-02,Columbia,,,,,Outbound
1859-01-05,Wild Pigeon,Saunders,,Victoria,Port Townsend,Inbound
1859-01-07,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-01-08,Ocseni/Orsini,"Jesson/Session, E. ",,Victoria,Port Townsend,Inbound
1859-01-08,Leonede,,,Port Townsend,Victoria,Outbound
1859-01-10,H. C. Page,C. Ebey,,Victoria,Port Townsend,Inbound
1859-01-10,H. C. Page,,,Port Townsend,Victoria,Outbound
1859-01-11,Wild Pigeon,,,Port Townsend,Victoria,Outbound
1859-01-12,Franklin Sherman,William Smith,,Victoria,Port Townsend,Inbound
1859-01-12,Franklin Sherman,,,Port Townsend,Victoria,Outbound
1859-01-12,Constitution,,,Port Townsend,Victoria,Outbound
1859-01-14,Carolina,,,Port Townsend,Victoria,Outbound
1859-01-15,Constitution,A. B. Gove,,Victoria,Port Townsend,Inbound
1859-01-17,Carolina,Lampburgh,,Victoria,Port Townsend,Inbound
1859-01-18,Amelia,Thornton,,Victoria,Port Townsend,Inbound
1859-01-18,Page,J. F. Moneked/Morehouse/Morhouse,,Victoria,Port Townsend,Inbound
1859-01-19,Lancaster,E. Small,,San Francisco,Port Townsend,Inbound
1859-01-19,Hamboul/Stamboul,J. Reid,,Victoria,Port Townsend,Inbound
1859-01-19,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-01-20,Ork,Trask,,Victoria,Port Townsend,Inbound
1859-01-20,Ocean Wave,Shaff / Shaft,,Victoria,Port Townsend,Inbound
1859-01-21,Magarine/Mayarine,Down,,Victoria,Port Townsend,Inbound
1859-01-21,Godfrey,Clark,,Victoria,Port Townsend,Inbound
1859-01-21,Northerner,C. C. Dall,,Victoria,Port Townsend,Inbound
1859-01-23,H. C. Page,Oberg,,Victoria,Port Townsend,Inbound
1859-01-24,Franklin Sherman,William Smith,,Victoria,Port Townsend,Inbound
1859-01-24,Elizabeth,Melvin,,Victoria,Port Townsend,Inbound
1859-01-24,Wild Pigeon,Saunders,,Victoria,Port Townsend,Inbound
1859-01-24,Franklin Sherman,,,Port Townsend,Victoria,Outbound
1859-01-24,Elizabeth,,,Port Townsend,Victoria,Outbound
1859-01-24,Wild Pigeon,,,Port Townsend,Victoria,Outbound
1859-01-24,Carolina,,,Port Townsend,Victoria,Outbound
1859-01-24,Ocean Wave,,,Port Townsend,Victoria,Outbound
1859-01-25,Carolina,Lampburgh,,Victoria,Port Townsend,Inbound
1859-01-25,Jessie,Matherson,,Victoria,Port Townsend,Inbound
1859-01-25,Amelia,,,Port Townsend,Victoria,Outbound
1859-01-26,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-01-26,Wild Duck,Ross/Rose/Row/Roop/Roos/Roy,,Victoria,Port Townsend,Inbound
1859-01-26,Leonede,,,Port Townsend,Victoria,Outbound
1859-01-29,Cadwell,Sagton/Taylor,,Victoria,Port Townsend,Inbound
1859-01-29,Otter,William Alexander Mouat,,Victoria,Port Townsend,Inbound
1859-01-29,Amelia,Thornton,,Victoria,Port Townsend,Inbound
1859-01-29,Matilda Heron,H. E. Morgan,,Victoria,Port Townsend,Inbound
1859-01-29,H. C. Page,,,Port Townsend,Victoria,Outbound
1859-02-01,Matilda Heron,H. E. Morgan,,Victoria,Port Townsend,Inbound
1859-02-01,Page,,,Port Townsend,San Francisco,Outbound
1859-02-01,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-02-01,Page,J. F. Moneked/Morehouse/Morhouse,,Port Townsend,San Francisco,Outbound
1859-02-01,Otter,William Alexander Mouat,,Port Townsend,Victoria,Outbound
1859-02-03,H. C. Page,Oberg,,Victoria,Port Townsend,Inbound
1859-02-03,Mary Ann,Hamilton,,Victoria,Port Townsend,Inbound
1859-02-03,Constitution,A. B. Gove,,Victoria,Port Townsend,Inbound
1859-02-03,Mathilda Heron,Henry E. Morgan,,Port Townsend,Victoria,Outbound
1859-02-04,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-02-04,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1859-02-05,Madonna,Hoeg,,Victoria,Port Townsend,Inbound
1859-02-05,Harriet,Coffin,,Victoria,Port Townsend,Inbound
1859-02-05,Langley,Hibbard/Hillard,,Port Townsend,Victoria,Outbound
1859-02-06,Mary Ann,Hamilton,,Port Townsend,Victoria,Outbound
1859-02-06,H. C. Page,Oberg,,Port Townsend,Victoria,Outbound
1859-02-06,Reporter,Allen,,Port Townsend,Victoria,Outbound
1859-02-07,R. B. Potter,Franklin Tucker,,Victoria,Port Townsend,Inbound
1859-02-07,Glympse,Dayton,,San Francisco,Port Townsend,Inbound
1859-02-07,Young Greek,Taylor,,San Francisco,Port Townsend,Inbound
1859-02-09,Northerner,C. C. Dall,,Port Townsend,Victoria,Outbound
1859-02-09,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-02-09,Lizzie Jarvis,Knife,,Port Townsend,Shanghai,Outbound
1859-02-09,L. P. Foster,Libby,,Port Townsend,Victoria,Outbound
1859-02-10,Harriet,Coffin,,Port Townsend,Victoria,Outbound
1859-02-11,Franklin Sherman,William Smith,,Victoria,Port Townsend,Inbound
1859-02-11,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-02-11,Constitution,A. B. Gove,,Victoria,Port Townsend,Inbound
1859-02-11,Orestus,Mason,,Victoria,Port Townsend,Inbound
1859-02-11,Piscatagua,Smalley,,Victoria,Port Townsend,Inbound
1859-02-11,Orion,Libby,,San Francisco,Port Townsend,Inbound
1859-02-12,Amelia,Thornton,,Port Townsend,Victoria,Outbound
1859-02-13,Northerner,C. C. Dall,,San Francisco,Port Townsend,Inbound
1859-02-13,Wild Duck,Wolf,,Port Townsend,Victoria,Outbound
1859-02-14,Dashaway,Hill,,San Francisco,Port Townsend,Inbound
1859-02-14,Ork,A. Y. Trask,,Port Townsend,San Francisco,Outbound
1859-02-15,C. E. Silton,Buan,,San Francisco,Port Townsend,Inbound
1859-02-15,Sea Nymph,Hoge,,Port Townsend,Victoria,Outbound
1859-02-15,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-02-17,Godfrey,Clark,,Port Townsend,Valparaiso,Outbound
1859-02-18,Franklin Sherman,Smith,,Port Townsend,Victoria,Outbound
1859-02-19,Reporter,Elger,,Victoria,Port Townsend,Inbound
1859-02-19,Carolina,Lampburgh,,Port Townsend,Victoria,Outbound
1859-02-21,L. P. Foster,Libby,,Victoria,Port Townsend,Inbound
1859-02-21,Harriet,Coffin,,Victoria,Port Townsend,Inbound
1859-02-21,Amelia,Thornton,,Victoria,Port Townsend,Inbound
1859-02-22,W. D. Rice,Diggs,,San Francisco,Port Townsend,Inbound
1859-02-22,Jenny Ford,Moore,,San Francisco,Port Townsend,Inbound
1859-02-22,D. M. Hall,O. S. Cabott,,San Francisco,Port Townsend,Inbound
1859-02-22,Northerner,C. C. Dall,,San Francisco,Port Townsend,Inbound
1859-02-22,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-02-22,Peonium,Henstes/Heusty,,Port Townsend,Amoy,Outbound
1859-02-22,Williamette/Willamantie/Willamantic,Pinkhaur,,Port Townsend,San Francisco,Outbound
1859-02-24,Northerner,C. C. Dall,,Port Townsend,San Francisco,Outbound
1859-02-25,Pronto,McAlmond,,Port Townsend,Victoria,Outbound
1859-02-25,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-02-25,Colonel Ebey,Bartlett,,Port Townsend,Victoria,Outbound
1859-02-26,Caroline,James Jones,,Port Townsend,Victoria,Outbound
1859-02-27,Caroline,James Jones,,Victoria,Port Townsend,Inbound
1859-02-27,Jenny Ford,Moore,,Port Townsend,Honolulu,Outbound
1859-02-28,B. L. Harmon,Barclay,,Port Townsend,Valparaiso,Outbound
1859-03-01,Wild Duck,Wolf,,Victoria,Port Townsend,Inbound
1859-03-01,Elizabeth,Melvin,,Victoria,Port Townsend,Inbound
1859-03-01,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-03-01,Elizabeth,Wilson,,Port Townsend,Victoria,Outbound
1859-03-01,Wild Duck,Wolf,,Port Townsend,Victoria,Outbound
1859-03-01,Harriet,Coffin,,Port Townsend,Victoria,Outbound
1859-03-02,J. C. Caswell,Taylor,,Victoria,Port Townsend,Inbound
1859-03-02,Wild Pigeon,Saunders,,Victoria,Port Townsend,Inbound
1859-03-02,Memnon,Jenkins,,San Francisco,Port Townsend,Inbound
1859-03-02,Amelia,Thornton,,Victoria,Port Townsend,Inbound
1859-03-02,J. B. Lancaster,E. Small,,Port Townsend,San Francisco,Outbound
1859-03-05,Constitution,A. B. Gove,,Victoria,Port Townsend,Inbound
1859-03-07,Jessie,Matherson,,Victoria,Port Townsend,Inbound
1859-03-07,H. C. Page,Oberg,,Victoria,Port Townsend,Inbound
1859-03-07,Island Queen,Robertson,,Victoria,Port Townsend,Inbound
1859-03-07,C. S. Kidder,Sepai/Sepia/Sepa/Sessa/Lessie/Lissa/Tessa/Jessa,,Victoria,Port Townsend,Inbound
1859-03-07,C. S. Kidder,Lissa,,Port Townsend,Victoria,Outbound
1859-03-07,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-03-07,Glympse,Smith,,Port Townsend,San Francisco,Outbound
1859-03-07,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-03-08,Jessie,Matherson,,Port Townsend,Victoria,Outbound
1859-03-09,Columbia,J. R. Baly,,San Francisco,Port Townsend,Inbound
1859-03-09,Sherman,Smith,,Port Townsend,Victoria,Outbound
1859-03-11,Franklin Sherman,William Smith,,Victoria,Port Townsend,Inbound
1859-03-11,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-03-11,Reporter,Elger,,Port Townsend,Victoria,Outbound
1859-03-11,Pronto,Ryder,,Port Townsend,Victoria,Outbound
1859-03-11,Flying Mist,Berry,,Port Townsend,Victoria,Outbound
1859-03-12,Mawhurst/Mamluist,Wamburg,,Victoria,Port Townsend,Inbound
1859-03-12,Constitution,A. B. Gove,,Victoria,Port Townsend,Inbound
1859-03-12,Otter,William Alexander Mouat,,Port Townsend,Victoria,Outbound
1859-03-12,Midnight Cry,Jenkins,,Port Townsend,Victoria,Outbound
1859-03-12,D. M. Hall,O. S. Cabott,,Port Townsend,San Francisco,Outbound
1859-03-13,J. C. Caswell,Taylor,,Victoria,Port Townsend,Inbound
1859-03-14,Pronto,Ryder,,Victoria,Port Townsend,Inbound
1859-03-14,Wild Pigeon,Saunders,,Port Townsend,Victoria,Outbound
1859-03-15,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-03-15,Wild Duck,Wolf,,Victoria,Port Townsend,Inbound
1859-03-15,Young Greek,Taylor,,Port Townsend,Valparaiso,Outbound
1859-03-15,Pronto,Ryder,,Port Townsend,Victoria,Outbound
1859-03-15,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1859-03-15,Elizabeth,Melvin,,Port Townsend,Victoria,Outbound
1859-03-15,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-03-16,Nevada,C. H. / C. A. Houston,,Victoria,Port Townsend,Inbound
1859-03-16,Oak Hill,Folsom/Satcher,,Boston,Port Townsend,Inbound
1859-03-16,Elizabeth,Melvin,,Victoria,Port Townsend,Inbound
1859-03-16,Piscatagua,Smalley,,Port Townsend,Victoria,Outbound
1859-03-16,Amelia,Thornton,,Port Townsend,Victoria,Outbound
1859-03-17,Nevada,McNeil,,Port Townsend,Victoria,Outbound
1859-03-17,H. C. Page,Oberg,,Port Townsend,Victoria,Outbound
1859-03-18,Gucadelette / Guadaletta,Satcher,,Victoria,Port Townsend,Inbound
1859-03-18,C. S. Kidder,Lissa,,Port Townsend,Victoria,Outbound
1859-03-18,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1859-03-18,Island Queen,Robertson,,Port Townsend,Victoria,Outbound
1859-03-19,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-03-20,Amelia,Thornton,,Victoria,Port Townsend,Inbound
1859-03-21,Colonel Ebey,Bartlett,,Victoria,Port Townsend,Inbound
1859-03-22,August,Stanley,,Victoria,Port Townsend,Inbound
1859-03-22,J. C. Caswell,Taylor,,Victoria,Port Townsend,Inbound
1859-03-22,Reporter,Elger,,Victoria,Port Townsend,Inbound
1859-03-22,Colonist,Clause/Clark,,Victoria,Port Townsend,Inbound
1859-03-22,D. L. Clinch,Bunker,,Victoria,Port Townsend,Inbound
1859-03-22,Morning Glory,Hobbs,,San Francisco,Port Townsend,Inbound
1859-03-22,Menace/Minnie,Shaff,,Victoria,Port Townsend,Inbound
1859-03-22,Amelia,Thornton,,Port Townsend,Victoria,Outbound
1859-03-22,Nazarene,Dorin,,Port Townsend,Melbourne,Outbound
1859-03-22,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-03-22,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-03-22,Reporter,Elger,,Port Townsend,Victoria,Outbound
1859-03-22,C. E. Felton/Selton/Silton,J. H. Buard,,Port Townsend,San Francisco,Outbound
1859-03-25,Constitution,A. B. Gove,,Victoria,Port Townsend,Inbound
1859-03-25,C. S. Kidder,Sepai/Sepia/Sepa/Sessa/Lessie/Lissa/Tessa/Jessa,,Victoria,Port Townsend,Inbound
1859-03-25,R. B. Potter,W. J. Norwood,,Port Townsend,Victoria,Outbound
1859-03-26,Northerner,C. C. Dall,,Victoria,Port Townsend,Inbound
1859-03-26,H. C. Page,Oberg,,Victoria,Port Townsend,Inbound
1859-03-26,Francis Helen,Ray,,San Francisco,Port Townsend,Inbound
1859-03-26,H. C. Page,Oberg,,Port Townsend,Victoria,Outbound
1859-03-26,C. S. Kidder,Lessa,,Port Townsend,Victoria,Outbound
1859-03-26,Northerner,C. C. Dall,,Port Townsend,San Francisco,Outbound
1859-03-26,W. D. Rice,Diggs,,Port Townsend,San Francisco,Outbound
1859-03-28,Friendship,Carleton,,San Francisco,Port Townsend,Inbound
1859-03-28,Mainland,Manson,,Port Townsend,Valparaiso,Outbound
1859-03-29,Harriet,Coffin,,,Port Townsend,Inbound
1859-03-29,Harriet,Coffin,,Port Townsend,Victoria,Outbound
1859-03-29,Pronto,Ryder,,Port Townsend,Victoria,Outbound
1859-03-29,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-03-30,Tornado,Keller,,Boston,Port Townsend,Inbound
1859-03-30,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-03-31,Constitution,A. B. Gove,,Victoria,Port Townsend,Inbound
1859-04-01,Elizabeth,Melvin,,Victoria,Port Townsend,Inbound
1859-04-01,Piscatagua,Smalley,,Victoria,Port Townsend,Inbound
1859-04-01,J. C. Caswell,Taylor,,Victoria,Port Townsend,Inbound
1859-04-01,Midnight Cry,Jenkins,,Port Townsend,Victoria,Outbound
1859-04-01,Piscatagua,Smalley,,Port Townsend,Victoria,Outbound
1859-04-01,R. B. Potter,W. J. Norwood,,Port Townsend,Victoria,Outbound
1859-04-02,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-04-04,Jessie,Matherson,,Victoria,Port Townsend,Inbound
1859-04-04,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-04-04,R. B. Potter,W. J. Norwood,,Victoria,Port Townsend,Inbound
1859-04-04,Reporter,Elger,,Victoria,Port Townsend,Inbound
1859-04-04,Jessie,Matherson,,Victoria,Port Townsend,Inbound
1859-04-04,Angenett,Standley,,Port Townsend,Victoria,Outbound
1859-04-04,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1859-04-05,D. L. Clinch,Bunker,,Port Townsend,Victoria,Outbound
1859-04-05,Get Up and Get,Hoxie,,Port Townsend,Victoria,Outbound
1859-04-05,Francis Helen,Ray,,Port Townsend,Victoria,Outbound
1859-04-06,Amelia,Thornton,,Victoria,Port Townsend,Inbound
1859-04-06,Caroline,James Jones,,Victoria,Port Townsend,Inbound
1859-04-06,Dashaway,Hill,,Port Townsend,Valparaiso,Outbound
1859-04-06,Mathilda Heron,Calver,,Port Townsend,Victoria,Outbound
1859-04-06,Jessie,Matherson,,Port Townsend,Victoria,Outbound
1859-04-06,Tornado,Keller,,Port Townsend,Victoria,Outbound
1859-04-08,Caroline,James Jones,,Victoria,Port Townsend,Inbound
1859-04-08,Mary F. Slade,Crowell,,San Francisco,Port Townsend,Inbound
1859-04-08,Reporter,Elger,,Port Townsend,Victoria,Outbound
1859-04-09,J. C. Caswell,Taylor,,Victoria,Port Townsend,Inbound
1859-04-09,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-04-09,Matilda Heron,Culver/Calver,,Victoria,Port Townsend,Inbound
1859-04-09,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-04-09,Pronto,Ryder,,Port Townsend,Victoria,Outbound
1859-04-09,Colonist,Shaco,,Port Townsend,Victoria,Outbound
1859-04-10,Jessie,Matherson,,Victoria,Port Townsend,Inbound
1859-04-10,Mathilda Heron,Calver,,Port Townsend,Victoria,Outbound
1859-04-10,Memnon,Jenkins,,Port Townsend,Valparaiso,Outbound
1859-04-10,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1859-04-11,Flying Mist,Berry,,Victoria,Port Townsend,Inbound
1859-04-11,Northerner,C. C. Dall,,San Francisco,Port Townsend,Inbound
1859-04-11,Gucadelette / Guadaletta,Mitchell,,Port Townsend,Callao,Outbound
1859-04-12,H. C. Page,Oberg,,Victoria,Port Townsend,Inbound
1859-04-12,J. C. Caswell,Taylor,,Victoria,Port Townsend,Inbound
1859-04-12,Constitution,A. B. Gove,,Victoria,Port Townsend,Inbound
1859-04-12,Wild Pigeon,Saunders,,Victoria,Port Townsend,Inbound
1859-04-12,Mary F. Slade,Crowell,,Port Townsend,San Francisco,Outbound
1859-04-12,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-04-12,H. C. Page,Oberg,,Port Townsend,Victoria,Outbound
1859-04-12,Caroline,James Jones,,Port Townsend,Victoria,Outbound
1859-04-12,Northerner,C. C. Dall,,Port Townsend,Victoria,Outbound
1859-04-12,Elizabeth,Melvin,,Port Townsend,Victoria,Outbound
1859-04-15,J. C. Caswell,Taylor,,Victoria,Port Townsend,Inbound
1859-04-15,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-04-18,Francis Helen,Ray,,Victoria,Port Townsend,Inbound
1859-04-18,Colonial,Casper,,Victoria,Port Townsend,Inbound
1859-04-18,Storm Bird,Girard / Geray,,Benicia,Port Townsend,Inbound
1859-04-18,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-04-18,Flying Mist,Berry,,Port Townsend,Victoria,Outbound
1859-04-18,Jessie,Matherson,,Port Townsend,Victoria,Outbound
1859-04-19,Piscatagua,Smalley,,Victoria,Port Townsend,Inbound
1859-04-19,Matilda Heron,Brooks,,Victoria,Port Townsend,Inbound
1859-04-19,Piscatagua,Smalley,,Port Townsend,Victoria,Outbound
1859-04-19,Pronto,Ryder,,Port Townsend,Victoria,Outbound
1859-04-20,Mathilda Heron,Brooks,,Port Townsend,Victoria,Outbound
1859-04-20,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1859-04-21,Carrie Leland,Smith,,Victoria,Port Townsend,Inbound
1859-04-21,Constitution,A. B. Gove,,Victoria,Port Townsend,Inbound
1859-04-22,J. C. Caswell,Taylor,,Victoria,Port Townsend,Inbound
1859-04-22,Elizabeth,Melvin,,Victoria,Port Townsend,Inbound
1859-04-22,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-04-22,Harriet,Coffin,,Victoria,Port Townsend,Inbound
1859-04-22,Elizabeth,Melvin,,Port Townsend,Victoria,Outbound
1859-04-22,Harriet,Coffin,,Port Townsend,Victoria,Outbound
1859-04-23,C. S. Kidder,Sepai/Sepia/Sepa/Sessa/Lessie/Lissa/Tessa/Jessa,,Victoria,Port Townsend,Inbound
1859-04-23,C. S. Kidder,Lissa,,Port Townsend,Victoria,Outbound
1859-04-24,H. C. Page,Oberg,,Victoria,Port Townsend,Inbound
1859-04-24,J. B. Lancaster,Small,,San Francisco,Port Townsend,Inbound
1859-04-24,Columbia,Watson,,Port Townsend,San Francisco,Outbound
1859-04-24,Colonist,Coupe,,Port Townsend,Victoria,Outbound
1859-04-24,Wild Pigeon,Launders,,Port Townsend,Victoria,Outbound
1859-04-24,Francis Helen,Ray,,Port Townsend,Victoria,Outbound
1859-04-25,Columbia,J. R. Baly,,San Francisco,Port Townsend,Inbound
1859-04-25,Amelia,Thorndike,,Port Townsend,Victoria,Outbound
1859-04-27,Constitution,A. B. Gove,,Port Townsend,Victoria,Outbound
1859-04-27,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-04-27,R. B. Potter,W. J. Norwood,,Port Townsend,Victoria,Outbound
1859-04-28,Harriet,Coffin,,Victoria,Port Townsend,Inbound
1859-04-28,Harriet,Coffin,,Port Townsend,Victoria,Outbound
1859-04-28,H. C. Page,Oberg,,Port Townsend,Victoria,Outbound
1859-04-29,Constitution,A. B. Gove,,Victoria,Port Townsend,Inbound
1859-04-29,Jenny Ford,Moore,,Honolulu,Port Townsend,Inbound
1859-04-29,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-04-29,Wild Duck,Wolf,,Port Townsend,Victoria,Outbound
1859-04-29,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1859-04-29,J. C. Caswell,Taylor,,Port Townsend,Victoria,Outbound
1859-04-29,Orion,Libby,,Port Townsend,Sydney,Outbound
1859-04-29,Stamboul,Reed,,Port Townsend,Plymouth,Outbound
1859-04-30,J. C. Caswell,Taylor,,Victoria,Port Townsend,Inbound
1859-04-30,R. B. Potter,W. J. Norwood,,Victoria,Port Townsend,Inbound
1859-05-02,Leonesa,Edward Howard,,Victoria,Port Townsend,Inbound
1859-05-02,Get Up and Get,Hofie/Hoxie / Hodie / Hoxey,,Victoria,Port Townsend,Inbound
1859-05-02,Francis Helen,Ray,,Victoria,Port Townsend,Inbound
1859-05-02,Mathilda Heron,Brooks,,Port Townsend,Victoria,Outbound
1859-05-03,Jessie,Matherson,,Victoria,Port Townsend,Inbound
1859-05-03,Elizabeth,Melvin,,Victoria,Port Townsend,Inbound
1859-05-03,Matilda Heron,Brooks,,Victoria,Port Townsend,Inbound
1859-05-03,C. S. Kidder,Sepai/Sepia/Sepa/Sessa/Lessie/Lissa/Tessa/Jessa,,Victoria,Port Townsend,Inbound
1859-05-03,Elizabeth,Melvin,,Port Townsend,Victoria,Outbound
1859-05-03,C. S. Kidder,Stowell,,Port Townsend,Victoria,Outbound
1859-05-04,Reporter,Elger,,Victoria,Port Townsend,Inbound
1859-05-05,Tornado,Keller,,Victoria,Port Townsend,Inbound
1859-05-05,Glympse,Dayton,,San Francisco,Port Townsend,Inbound
1859-05-05,Nevada,C. H. / C. A. Houston,,Victoria,Port Townsend,Inbound
1859-05-05,Amelia,Thornton,,Victoria,Port Townsend,Inbound
1859-05-05,Reporter,Elger,,Port Townsend,Victoria,Outbound
1859-05-06,H. C. Page,Oberg,,Victoria,Port Townsend,Inbound
1859-05-06,Flying Mist,Berry,,Victoria,Port Townsend,Inbound
1859-05-06,Carrie Leland,Smith,,Port Townsend,San Francisco,Outbound
1859-05-06,Jennett,Baldwin,,Port Townsend,Victoria,Outbound
1859-05-07,Pronto,Ryder,,Port Townsend,Victoria,Outbound
1859-05-07,Scotchman,Tamfall/Trumball,,Port Townsend,Callao,Outbound
1859-05-07,Ork,A. Y. Trask,,Port Townsend,San Francisco,Outbound
1859-05-08,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1859-05-08,Wild Duck,Wolf,,Victoria,Port Townsend,Inbound
1859-05-08,Nevada,McNeil,,Port Townsend,Victoria,Outbound
1859-05-09,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1859-05-09,Amelia,Thornton,,Port Townsend,Victoria,Outbound
1859-05-09,Epic,Matherson,,Port Townsend,Victoria,Outbound
1859-05-10,Ork,Trask,,Victoria,Port Townsend,Inbound
1859-05-10,Piscatagua,Smalley,,Victoria,Port Townsend,Inbound
1859-05-10,Northerner,C. C. Dall,,San Francisco,Port Townsend,Inbound
1859-05-10,J. C. Caswell,Taylor,,Victoria,Port Townsend,Inbound
1859-05-10,Piscatagua,Crosby,,Port Townsend,Victoria,Outbound
1859-05-10,H. C. Page,Oberg,,Port Townsend,Victoria,Outbound
1859-05-10,Storm Bird,Geoand/Gerand,,Port Townsend,San Francisco,Outbound
1859-05-11,C. S. Kidder,Sepai/Sepia/Sepa/Sessa/Lessie/Lissa/Tessa/Jessa,,Victoria,Port Townsend,Inbound
1859-05-11,R. B. Potter,W. J. Norwood,,Victoria,Port Townsend,Inbound
